episode_id,step_idx,sim_time,wall_time,robot_position_x,robot_position_y,robot_position_z,robot_yaw,linear_velocity_cmd,angular_velocity_cmd,odom_linear_velocity,odom_angular_velocity,camera_frame_id,image_timestamp,policy_mode,stop_signal,safety_state,notes
manual_arc_20260708_024944,46,12.816667,1783475384.820776,1.416387,-0.000462,1e-06,-0.000161,0.3,0.0,0.299866,-0.000133,camera_link,12.816667,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,47,12.833334,1783475384.824003,1.421379,-0.000463,-0.0,-0.000161,0.3,0.0,0.299866,-0.000133,camera_link,12.833334,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,48,12.850001,1783475384.839479,1.42637,-0.000464,1e-06,-0.000163,0.3,0.0,0.29958,0.001071,camera_link,12.850001,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,49,12.866667,1783475384.842957,1.431361,-0.000465,2e-06,-0.000157,0.3,0.0,0.29958,0.001071,camera_link,12.866667,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,50,12.883334,1783475384.845441,1.436351,-0.000467,2e-06,-0.000164,0.3,0.0,0.29958,0.001071,camera_link,12.883334,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,51,12.900001,1783475384.855978,1.441341,-0.000467,-0.0,-0.000165,0.3,0.0,0.299836,0.000262,camera_link,12.900001,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,52,12.916667,1783475384.85855,1.446332,-0.000468,0.0,-0.000165,0.3,0.0,0.299836,0.000262,camera_link,12.916667,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,53,12.933334,1783475384.860734,1.451324,-0.000469,-0.0,-0.000165,0.3,0.0,0.299836,0.000262,camera_link,12.933334,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,54,12.950001,1783475384.867903,1.456316,-0.000469,1e-06,-0.00016,0.3,0.0,0.299641,-0.003027,camera_link,12.950001,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,55,12.966667,1783475384.869389,1.461308,-0.00047,-0.0,-0.00016,0.3,0.0,0.299641,-0.003027,camera_link,12.966667,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,56,12.983334,1783475384.870712,1.466299,-0.000471,0.0,-0.00016,0.3,0.0,0.299641,-0.003027,camera_link,12.983334,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,57,13.000001,1783475384.87827,1.47129,-0.000472,0.0,-0.00016,0.3,0.0,0.299851,-0.000109,camera_link,13.000001,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,58,13.016667,1783475384.879828,1.476282,-0.000472,0.0,-0.00016,0.3,0.0,0.299851,-0.000109,camera_link,13.016667,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,59,13.033334,1783475384.881118,1.481273,-0.000473,0.0,-0.00016,0.3,0.0,0.299851,-0.000109,camera_link,13.033334,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,60,13.050001,1783475384.888448,1.486264,-0.000474,0.0,-0.00016,0.3,0.0,0.299857,-0.000214,camera_link,13.050001,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,61,13.066667,1783475384.890758,1.491254,-0.000476,2e-06,-0.000164,0.3,0.0,0.299857,-0.000214,camera_link,13.066667,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,62,13.083334,1783475384.89269,1.496243,-0.000476,3e-06,-0.000156,0.3,0.0,0.299857,-0.000214,camera_link,13.083334,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,63,13.100001,1783475384.902882,1.501237,-0.000479,0.0,-0.000156,0.3,0.0,0.299855,-6.8e-05,camera_link,13.100001,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,64,13.116667,1783475384.905572,1.506226,-0.000481,2e-06,-0.00017,0.3,0.0,0.299855,-6.8e-05,camera_link,13.116667,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,65,13.133334,1783475384.907177,1.511215,-0.000481,1e-06,-0.000173,0.3,0.0,0.299855,-6.8e-05,camera_link,13.133334,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,66,13.150001,1783475384.915338,1.516205,-0.000482,0.0,-0.000173,0.3,0.0,0.299814,7.7e-05,camera_link,13.150001,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,67,13.166667,1783475384.916768,1.521195,-0.000483,2e-06,-0.000176,0.3,0.0,0.299814,7.7e-05,camera_link,13.166667,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,68,13.183334,1783475384.918868,1.526186,-0.000484,0.0,-0.000176,0.3,0.0,0.299814,7.7e-05,camera_link,13.183334,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,69,13.200001,1783475384.928544,1.531177,-0.000485,0.0,-0.000176,0.3,0.0,0.299855,-0.000313,camera_link,13.200001,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,70,13.216667,1783475384.93075,1.536168,-0.000486,0.0,-0.000175,0.3,0.0,0.299855,-0.000313,camera_link,13.216667,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,71,13.233334,1783475384.932669,1.541159,-0.000487,0.0,-0.000175,0.3,0.0,0.299855,-0.000313,camera_link,13.233334,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,72,13.250001,1783475384.94048,1.546149,-0.000488,1e-06,-0.000181,0.3,0.0,0.299255,0.003557,camera_link,13.250001,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,73,13.266667,1783475384.942768,1.55114,-0.000489,-0.0,-0.000182,0.3,0.0,0.299255,0.003557,camera_link,13.266667,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,74,13.283334,1783475384.944891,1.556131,-0.00049,0.0,-0.000181,0.3,0.0,0.299255,0.003557,camera_link,13.283334,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,75,13.300001,1783475384.952776,1.561122,-0.000491,0.0,-0.000181,0.3,0.0,0.299838,0.000174,camera_link,13.300001,manual_cmd_vel,,nominal,
