episode_id,step_idx,sim_time,wall_time,robot_position_x,robot_position_y,robot_position_z,robot_yaw,linear_velocity_cmd,angular_velocity_cmd,odom_linear_velocity,odom_angular_velocity,camera_frame_id,image_timestamp,policy_mode,stop_signal,safety_state,notes,shadow_gnm_enabled,shadow_gnm_status,shadow_gnm_model_path,shadow_gnm_latency_ms,shadow_gnm_candidate_linear_velocity,shadow_gnm_candidate_angular_velocity,shadow_gnm_candidate_waypoint_x,shadow_gnm_candidate_waypoint_y,shadow_gnm_goal_distance,shadow_gnm_confidence,shadow_gnm_error,actual_controller,actual_linear_velocity_cmd,actual_angular_velocity_cmd,goal_id,distance_to_goal_m,gnm_control_enabled,gnm_action_raw_linear_velocity,gnm_action_raw_angular_velocity,gnm_action_clipped_linear_velocity,gnm_action_clipped_angular_velocity,action_clipped,watchdog_state,emergency_stop_triggered,stop_reason
gnm_closed_loop_20260708_043548,38,13.850001,1783481751.649992,1.316546,-0.000423,-0.0,0.000168,0.2,0.06327,0.199742,-0.005116,camera_link,13.850001,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.94,0.3,0.0633,0.553,0.035,4.87,,,gnm_closed_loop,0.2,0.06327,bringup_stage_goal_A,1.2849,True,0.3,0.06327,0.2,0.06327,True,armed,False,
gnm_closed_loop_20260708_043548,39,13.866667,1783481751.67219,1.319871,-0.000423,-0.0,0.000175,0.2,0.064204,0.199848,-0.005314,camera_link,13.866667,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,13.2,0.3,0.0642,0.5465,0.0351,4.86,,,gnm_closed_loop,0.2,0.064204,bringup_stage_goal_A,1.2818,True,0.3,0.064204,0.2,0.064204,True,armed,False,
gnm_closed_loop_20260708_043548,40,13.883334,1783481751.674849,1.323195,-0.000423,1e-06,0.000177,0.2,0.064204,0.199848,-0.005314,camera_link,13.883334,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,13.2,0.3,0.0642,0.5465,0.0351,4.86,,,gnm_closed_loop,0.2,0.064204,bringup_stage_goal_A,1.2788,True,0.3,0.064204,0.2,0.064204,True,armed,False,
gnm_closed_loop_20260708_043548,41,13.900001,1783481751.677737,1.32652,-0.000422,-0.0,0.000183,0.2,0.064204,0.199848,-0.005314,camera_link,13.900001,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,13.2,0.3,0.0642,0.5465,0.0351,4.86,,,gnm_closed_loop,0.2,0.064204,bringup_stage_goal_A,1.2757,True,0.3,0.064204,0.2,0.064204,True,armed,False,
gnm_closed_loop_20260708_043548,42,13.916667,1783481751.705089,1.329846,-0.000422,-0.0,0.000187,0.2,0.066281,0.199789,-0.004353,camera_link,13.916667,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,15.02,0.3,0.0663,0.5272,0.035,4.89,,,gnm_closed_loop,0.2,0.066281,bringup_stage_goal_A,1.2727,True,0.3,0.066281,0.2,0.066281,True,armed,False,
gnm_closed_loop_20260708_043548,43,13.933334,1783481751.708225,1.33317,-0.000422,-0.0,0.000193,0.2,0.066281,0.199789,-0.004353,camera_link,13.933334,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,15.02,0.3,0.0663,0.5272,0.035,4.89,,,gnm_closed_loop,0.2,0.066281,bringup_stage_goal_A,1.2696,True,0.3,0.066281,0.2,0.066281,True,armed,False,
gnm_closed_loop_20260708_043548,44,13.950001,1783481751.710818,1.336497,-0.000421,-0.0,0.000198,0.2,0.066281,0.199789,-0.004353,camera_link,13.950001,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,15.02,0.3,0.0663,0.5272,0.035,4.89,,,gnm_closed_loop,0.2,0.066281,bringup_stage_goal_A,1.2666,True,0.3,0.066281,0.2,0.066281,True,armed,False,
gnm_closed_loop_20260708_043548,45,13.966667,1783481751.748509,1.339821,-0.000421,-0.0,0.000203,0.2,0.070855,0.199915,-0.004134,camera_link,13.966667,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,13.0,0.3,0.0709,0.5094,0.0362,4.94,,,gnm_closed_loop,0.2,0.070855,bringup_stage_goal_A,1.2635,True,0.3,0.070855,0.2,0.070855,True,armed,False,
gnm_closed_loop_20260708_043548,46,13.983334,1783481751.75067,1.343145,-0.00042,-0.0,0.000208,0.2,0.070855,0.199915,-0.004134,camera_link,13.983334,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,13.0,0.3,0.0709,0.5094,0.0362,4.94,,,gnm_closed_loop,0.2,0.070855,bringup_stage_goal_A,1.2605,True,0.3,0.070855,0.2,0.070855,True,armed,False,
gnm_closed_loop_20260708_043548,47,14.000001,1783481751.752427,1.346469,-0.00042,-0.0,0.000213,0.2,0.070855,0.199915,-0.004134,camera_link,14.000001,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,13.0,0.3,0.0709,0.5094,0.0362,4.94,,,gnm_closed_loop,0.2,0.070855,bringup_stage_goal_A,1.2574,True,0.3,0.070855,0.2,0.070855,True,armed,False,
gnm_closed_loop_20260708_043548,48,14.016667,1783481751.775517,1.349797,-0.000419,-0.0,0.000217,0.2,0.074765,0.199717,-0.004753,camera_link,14.016667,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,14.02,0.3,0.0748,0.4936,0.037,4.99,,,gnm_closed_loop,0.2,0.074765,bringup_stage_goal_A,1.2543,True,0.3,0.074765,0.2,0.074765,True,armed,False,
gnm_closed_loop_20260708_043548,49,14.033334,1783481751.778239,1.353122,-0.000418,-0.0,0.000223,0.2,0.074765,0.199717,-0.004753,camera_link,14.033334,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,14.02,0.3,0.0748,0.4936,0.037,4.99,,,gnm_closed_loop,0.2,0.074765,bringup_stage_goal_A,1.2513,True,0.3,0.074765,0.2,0.074765,True,armed,False,
