episode_id,step_idx,sim_time,wall_time,robot_position_x,robot_position_y,robot_position_z,robot_yaw,linear_velocity_cmd,angular_velocity_cmd,odom_linear_velocity,odom_angular_velocity,camera_frame_id,image_timestamp,policy_mode,stop_signal,safety_state,notes,shadow_gnm_enabled,shadow_gnm_status,shadow_gnm_model_path,shadow_gnm_latency_ms,shadow_gnm_candidate_linear_velocity,shadow_gnm_candidate_angular_velocity,shadow_gnm_candidate_waypoint_x,shadow_gnm_candidate_waypoint_y,shadow_gnm_goal_distance,shadow_gnm_confidence,shadow_gnm_error,actual_controller,actual_linear_velocity_cmd,actual_angular_velocity_cmd,gnm_control_enabled,gnm_action_raw_linear_velocity,gnm_action_raw_angular_velocity,gnm_action_clipped_linear_velocity,gnm_action_clipped_angular_velocity,action_clipped,watchdog_state,emergency_stop_triggered,stop_reason
gnm_closed_loop_20260708_031730,340,18.883334,1783477056.538384,2.320364,-0.001535,-0.0,-0.002049,0.2,-0.066532,0.199836,0.005032,camera_link,18.883334,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,14.32,0.3,-0.0665,0.6321,-0.0421,16.47,,,gnm_closed_loop,0.2,-0.066532,True,0.3,-0.066532,0.2,-0.066532,True,armed,False,
gnm_closed_loop_20260708_031730,341,18.900001,1783477056.541335,2.323688,-0.001541,-0.0,-0.002056,0.2,-0.066532,0.199836,0.005032,camera_link,18.900001,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,14.32,0.3,-0.0665,0.6321,-0.0421,16.47,,,gnm_closed_loop,0.2,-0.066532,True,0.3,-0.066532,0.2,-0.066532,True,armed,False,
gnm_closed_loop_20260708_031730,342,18.916668,1783477056.568102,2.327012,-0.001548,-0.0,-0.002061,0.2,-0.06666,0.199737,0.005055,camera_link,18.916668,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,14.73,0.3,-0.0667,0.6323,-0.0422,16.48,,,gnm_closed_loop,0.2,-0.06666,True,0.3,-0.06666,0.2,-0.06666,True,armed,False,
gnm_closed_loop_20260708_031730,343,18.933334,1783477056.570356,2.330335,-0.001554,-0.0,-0.002068,0.2,-0.06666,0.199737,0.005055,camera_link,18.933334,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,14.73,0.3,-0.0667,0.6323,-0.0422,16.48,,,gnm_closed_loop,0.2,-0.06666,True,0.3,-0.06666,0.2,-0.06666,True,armed,False,
gnm_closed_loop_20260708_031730,344,18.950001,1783477056.573176,2.333658,-0.001561,-0.0,-0.002074,0.2,-0.06666,0.199737,0.005055,camera_link,18.950001,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,14.73,0.3,-0.0667,0.6323,-0.0422,16.48,,,gnm_closed_loop,0.2,-0.06666,True,0.3,-0.06666,0.2,-0.06666,True,armed,False,
gnm_closed_loop_20260708_031730,345,18.966668,1783477056.595367,2.336982,-0.001568,-0.0,-0.002081,0.2,-0.066565,0.199837,0.005314,camera_link,18.966668,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.33,0.3,-0.0666,0.6319,-0.0421,16.47,,,gnm_closed_loop,0.2,-0.066565,True,0.3,-0.066565,0.2,-0.066565,True,armed,False,
gnm_closed_loop_20260708_031730,346,18.983334,1783477056.599003,2.340304,-0.001575,-0.0,-0.002087,0.2,-0.066565,0.199837,0.005314,camera_link,18.983334,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.33,0.3,-0.0666,0.6319,-0.0421,16.47,,,gnm_closed_loop,0.2,-0.066565,True,0.3,-0.066565,0.2,-0.066565,True,armed,False,
gnm_closed_loop_20260708_031730,347,19.000001,1783477056.600953,2.343628,-0.001581,-0.0,-0.002093,0.2,-0.066565,0.199837,0.005314,camera_link,19.000001,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.33,0.3,-0.0666,0.6319,-0.0421,16.47,,,gnm_closed_loop,0.2,-0.066565,True,0.3,-0.066565,0.2,-0.066565,True,armed,False,
gnm_closed_loop_20260708_031730,348,19.016668,1783477056.637425,2.346951,-0.001588,-0.0,-0.0021,0.2,-0.066912,0.199821,0.004977,camera_link,19.016668,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,24.02,0.3,-0.0669,0.6314,-0.0423,16.48,,,gnm_closed_loop,0.2,-0.066912,True,0.3,-0.066912,0.2,-0.066912,True,armed,False,
gnm_closed_loop_20260708_031730,349,19.033334,1783477056.641076,2.350275,-0.001595,-0.0,-0.002107,0.2,-0.066912,0.199821,0.004977,camera_link,19.033334,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,24.02,0.3,-0.0669,0.6314,-0.0423,16.48,,,gnm_closed_loop,0.2,-0.066912,True,0.3,-0.066912,0.2,-0.066912,True,armed,False,
