metric,view_i,split_i,view_j,split_j,pair_class,similarity
dino_cosine,h8m_recep_fork__goalA,test,h8m_waiting_seating__goalA,train,cross_split,0.3319
ahash,h8m_recep_fork__goalA,test,h8m_waiting_seating__goalA,train,cross_split,0.4453
ssim,h8m_recep_fork__goalA,test,h8m_waiting_seating__goalA,train,cross_split,0.5487
dino_cosine,h8m_recep_fork__goalA,test,h8m_waiting_seating__goalB,train,cross_split,0.349
ahash,h8m_recep_fork__goalA,test,h8m_waiting_seating__goalB,train,cross_split,0.4258
ssim,h8m_recep_fork__goalA,test,h8m_waiting_seating__goalB,train,cross_split,0.5202
dino_cosine,h8m_recep_fork__goalA,test,h8m_lobby_vending_nearfar__goalA,train,cross_split,0.4489
ahash,h8m_recep_fork__goalA,test,h8m_lobby_vending_nearfar__goalA,train,cross_split,0.4609
ssim,h8m_recep_fork__goalA,test,h8m_lobby_vending_nearfar__goalA,train,cross_split,0.4546
dino_cosine,h8m_recep_fork__goalA,test,h8m_lobby_vending_nearfar__goalB,train,cross_split,0.306
ahash,h8m_recep_fork__goalA,test,h8m_lobby_vending_nearfar__goalB,train,cross_split,0.4414
ssim,h8m_recep_fork__goalA,test,h8m_lobby_vending_nearfar__goalB,train,cross_split,0.4521
dino_cosine,h8m_recep_fork__goalA,test,h8m_east_vending_nearfar__goalA,val,cross_split,0.2931
ahash,h8m_recep_fork__goalA,test,h8m_east_vending_nearfar__goalA,val,cross_split,0.4141
ssim,h8m_recep_fork__goalA,test,h8m_east_vending_nearfar__goalA,val,cross_split,0.4729
dino_cosine,h8m_recep_fork__goalA,test,h8m_east_vending_nearfar__goalB,val,cross_split,0.3244
ahash,h8m_recep_fork__goalA,test,h8m_east_vending_nearfar__goalB,val,cross_split,0.3984
ssim,h8m_recep_fork__goalA,test,h8m_east_vending_nearfar__goalB,val,cross_split,0.4793
dino_cosine,h8m_recep_fork__goalA,test,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.2534
ahash,h8m_recep_fork__goalA,test,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.5273
ssim,h8m_recep_fork__goalA,test,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.4483
dino_cosine,h8m_recep_fork__goalA,test,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.5179
ahash,h8m_recep_fork__goalA,test,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.5117
ssim,h8m_recep_fork__goalA,test,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.5851
dino_cosine,h8m_recep_fork__goalA,test,placeholder_h2_weave_J,hard_negative,cross_split,0.5111
ahash,h8m_recep_fork__goalA,test,placeholder_h2_weave_J,hard_negative,cross_split,0.5898
ssim,h8m_recep_fork__goalA,test,placeholder_h2_weave_J,hard_negative,cross_split,0.3364
dino_cosine,h8m_recep_fork__goalB,test,h8m_recep_desk_multiobj__goalA,train,cross_split,0.4818
ahash,h8m_recep_fork__goalB,test,h8m_recep_desk_multiobj__goalA,train,cross_split,0.4141
ssim,h8m_recep_fork__goalB,test,h8m_recep_desk_multiobj__goalA,train,cross_split,0.5468
dino_cosine,h8m_recep_fork__goalB,test,h8m_recep_desk_multiobj__goalB,train,cross_split,0.4052
ahash,h8m_recep_fork__goalB,test,h8m_recep_desk_multiobj__goalB,train,cross_split,0.4648
ssim,h8m_recep_fork__goalB,test,h8m_recep_desk_multiobj__goalB,train,cross_split,0.3464
dino_cosine,h8m_recep_fork__goalB,test,h8m_side_corridor__goalA,val,cross_split,0.5703
ahash,h8m_recep_fork__goalB,test,h8m_side_corridor__goalA,val,cross_split,0.3438
ssim,h8m_recep_fork__goalB,test,h8m_side_corridor__goalA,val,cross_split,0.3838
dino_cosine,h8m_recep_fork__goalB,test,h8m_side_corridor__goalB,val,cross_split,0.5495
ahash,h8m_recep_fork__goalB,test,h8m_side_corridor__goalB,val,cross_split,0.3984
ssim,h8m_recep_fork__goalB,test,h8m_side_corridor__goalB,val,cross_split,0.3154
dino_cosine,h8m_recep_fork__goalB,test,h8m_waiting_seating__goalA,train,cross_split,0.3961
ahash,h8m_recep_fork__goalB,test,h8m_waiting_seating__goalA,train,cross_split,0.4219
ssim,h8m_recep_fork__goalB,test,h8m_waiting_seating__goalA,train,cross_split,0.2971
dino_cosine,h8m_recep_fork__goalB,test,h8m_waiting_seating__goalB,train,cross_split,0.4724
ahash,h8m_recep_fork__goalB,test,h8m_waiting_seating__goalB,train,cross_split,0.5586
ssim,h8m_recep_fork__goalB,test,h8m_waiting_seating__goalB,train,cross_split,0.3991
dino_cosine,h8m_recep_fork__goalB,test,h8m_lobby_vending_nearfar__goalA,train,cross_split,0.5393
ahash,h8m_recep_fork__goalB,test,h8m_lobby_vending_nearfar__goalA,train,cross_split,0.3594
ssim,h8m_recep_fork__goalB,test,h8m_lobby_vending_nearfar__goalA,train,cross_split,0.3533
dino_cosine,h8m_recep_fork__goalB,test,h8m_lobby_vending_nearfar__goalB,train,cross_split,0.4236
ahash,h8m_recep_fork__goalB,test,h8m_lobby_vending_nearfar__goalB,train,cross_split,0.3633
ssim,h8m_recep_fork__goalB,test,h8m_lobby_vending_nearfar__goalB,train,cross_split,0.3362
dino_cosine,h8m_recep_fork__goalB,test,h8m_east_vending_nearfar__goalA,val,cross_split,0.4071
ahash,h8m_recep_fork__goalB,test,h8m_east_vending_nearfar__goalA,val,cross_split,0.3359
ssim,h8m_recep_fork__goalB,test,h8m_east_vending_nearfar__goalA,val,cross_split,0.3176
dino_cosine,h8m_recep_fork__goalB,test,h8m_east_vending_nearfar__goalB,val,cross_split,0.437
ahash,h8m_recep_fork__goalB,test,h8m_east_vending_nearfar__goalB,val,cross_split,0.3438
ssim,h8m_recep_fork__goalB,test,h8m_east_vending_nearfar__goalB,val,cross_split,0.3201
dino_cosine,h8m_recep_fork__goalB,test,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.3517
ahash,h8m_recep_fork__goalB,test,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.5273
ssim,h8m_recep_fork__goalB,test,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.2783
dino_cosine,h8m_recep_fork__goalB,test,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.5641
ahash,h8m_recep_fork__goalB,test,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.8008
ssim,h8m_recep_fork__goalB,test,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.4971
dino_cosine,h8m_recep_fork__goalB,test,placeholder_h2_weave_J,hard_negative,cross_split,0.5438
ahash,h8m_recep_fork__goalB,test,placeholder_h2_weave_J,hard_negative,cross_split,0.5898
ssim,h8m_recep_fork__goalB,test,placeholder_h2_weave_J,hard_negative,cross_split,0.2802
dino_cosine,h8m_recep_desk_multiobj__goalA,train,h8m_recep_desk_multiobj__goalB,train,within_zone,0.232
ahash,h8m_recep_desk_multiobj__goalA,train,h8m_recep_desk_multiobj__goalB,train,within_zone,0.707
ssim,h8m_recep_desk_multiobj__goalA,train,h8m_recep_desk_multiobj__goalB,train,within_zone,0.356
dino_cosine,h8m_recep_desk_multiobj__goalA,train,h8m_side_corridor__goalA,val,cross_split,0.4655
ahash,h8m_recep_desk_multiobj__goalA,train,h8m_side_corridor__goalA,val,cross_split,0.3203
ssim,h8m_recep_desk_multiobj__goalA,train,h8m_side_corridor__goalA,val,cross_split,0.2718
dino_cosine,h8m_recep_desk_multiobj__goalA,train,h8m_side_corridor__goalB,val,cross_split,0.3196
ahash,h8m_recep_desk_multiobj__goalA,train,h8m_side_corridor__goalB,val,cross_split,0.5703
ssim,h8m_recep_desk_multiobj__goalA,train,h8m_side_corridor__goalB,val,cross_split,0.3414
dino_cosine,h8m_recep_desk_multiobj__goalA,train,h8m_waiting_seating__goalA,train,within_split,0.2686
ahash,h8m_recep_desk_multiobj__goalA,train,h8m_waiting_seating__goalA,train,within_split,0.75
ssim,h8m_recep_desk_multiobj__goalA,train,h8m_waiting_seating__goalA,train,within_split,0.2841
dino_cosine,h8m_recep_desk_multiobj__goalA,train,h8m_waiting_seating__goalB,train,within_split,0.2354
ahash,h8m_recep_desk_multiobj__goalA,train,h8m_waiting_seating__goalB,train,within_split,0.6602
ssim,h8m_recep_desk_multiobj__goalA,train,h8m_waiting_seating__goalB,train,within_split,0.397
dino_cosine,h8m_recep_desk_multiobj__goalA,train,h8m_lobby_vending_nearfar__goalA,train,within_split,0.2974
ahash,h8m_recep_desk_multiobj__goalA,train,h8m_lobby_vending_nearfar__goalA,train,within_split,0.7578
ssim,h8m_recep_desk_multiobj__goalA,train,h8m_lobby_vending_nearfar__goalA,train,within_split,0.4591
dino_cosine,h8m_recep_desk_multiobj__goalA,train,h8m_lobby_vending_nearfar__goalB,train,within_split,0.2634
ahash,h8m_recep_desk_multiobj__goalA,train,h8m_lobby_vending_nearfar__goalB,train,within_split,0.7539
ssim,h8m_recep_desk_multiobj__goalA,train,h8m_lobby_vending_nearfar__goalB,train,within_split,0.436
dino_cosine,h8m_recep_desk_multiobj__goalA,train,h8m_east_vending_nearfar__goalA,val,cross_split,0.2639
ahash,h8m_recep_desk_multiobj__goalA,train,h8m_east_vending_nearfar__goalA,val,cross_split,0.75
ssim,h8m_recep_desk_multiobj__goalA,train,h8m_east_vending_nearfar__goalA,val,cross_split,0.4102
dino_cosine,h8m_recep_desk_multiobj__goalA,train,h8m_east_vending_nearfar__goalB,val,cross_split,0.3101
ahash,h8m_recep_desk_multiobj__goalA,train,h8m_east_vending_nearfar__goalB,val,cross_split,0.75
ssim,h8m_recep_desk_multiobj__goalA,train,h8m_east_vending_nearfar__goalB,val,cross_split,0.4105
dino_cosine,h8m_recep_desk_multiobj__goalA,train,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.1853
ahash,h8m_recep_desk_multiobj__goalA,train,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.7148
ssim,h8m_recep_desk_multiobj__goalA,train,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.2372
dino_cosine,h8m_recep_desk_multiobj__goalA,train,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.3921
ahash,h8m_recep_desk_multiobj__goalA,train,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.3086
ssim,h8m_recep_desk_multiobj__goalA,train,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.4639
dino_cosine,h8m_recep_desk_multiobj__goalA,train,placeholder_h2_weave_J,hard_negative,cross_split,0.4214
ahash,h8m_recep_desk_multiobj__goalA,train,placeholder_h2_weave_J,hard_negative,cross_split,0.2383
ssim,h8m_recep_desk_multiobj__goalA,train,placeholder_h2_weave_J,hard_negative,cross_split,0.2786
dino_cosine,h8m_recep_desk_multiobj__goalB,train,h8m_side_corridor__goalA,val,cross_split,0.262
ahash,h8m_recep_desk_multiobj__goalB,train,h8m_side_corridor__goalA,val,cross_split,0.3242
ssim,h8m_recep_desk_multiobj__goalB,train,h8m_side_corridor__goalA,val,cross_split,0.467
dino_cosine,h8m_recep_desk_multiobj__goalB,train,h8m_side_corridor__goalB,val,cross_split,0.6995
ahash,h8m_recep_desk_multiobj__goalB,train,h8m_side_corridor__goalB,val,cross_split,0.5664
