episode_id,step_idx,sim_time,wall_time,robot_position_x,robot_position_y,robot_position_z,robot_yaw,linear_velocity_cmd,angular_velocity_cmd,odom_linear_velocity,odom_angular_velocity,camera_frame_id,image_timestamp,policy_mode,stop_signal,safety_state,notes,shadow_gnm_enabled,shadow_gnm_status,shadow_gnm_model_path,shadow_gnm_latency_ms,shadow_gnm_candidate_linear_velocity,shadow_gnm_candidate_angular_velocity,shadow_gnm_candidate_waypoint_x,shadow_gnm_candidate_waypoint_y,shadow_gnm_goal_distance,shadow_gnm_confidence,shadow_gnm_error,actual_controller,actual_linear_velocity_cmd,actual_angular_velocity_cmd
manual_arc_20260708_030319,615,22.300001,1783476206.754002,4.256456,-0.000918,0.0,-0.000129,0.3,0.0,0.29987,0.000228,camera_link,22.300001,manual_cmd_vel,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,15.41,0.3,-0.0635,0.639,-0.0406,16.5,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,616,22.316668,1783476206.755768,4.261447,-0.000919,-0.0,-0.000128,0.3,0.0,0.29987,0.000228,camera_link,22.316668,manual_cmd_vel,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,15.41,0.3,-0.0635,0.639,-0.0406,16.5,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,617,22.333334,1783476206.757135,4.26644,-0.000919,0.0,-0.000128,0.3,0.0,0.29987,0.000228,camera_link,22.333334,manual_cmd_vel,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,15.41,0.3,-0.0635,0.639,-0.0406,16.5,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,618,22.350001,1783476206.779189,4.27143,-0.00092,0.0,-0.000128,0.3,0.0,0.299883,-0.000192,camera_link,22.350001,manual_cmd_vel,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,13.18,0.3,-0.0633,0.6396,-0.0405,16.49,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,619,22.366668,1783476206.781481,4.276422,-0.000921,-0.0,-0.000128,0.3,0.0,0.299883,-0.000192,camera_link,22.366668,manual_cmd_vel,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,13.18,0.3,-0.0633,0.6396,-0.0405,16.49,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,620,22.383335,1783476206.783407,4.281414,-0.000921,-0.0,-0.000128,0.3,0.0,0.299883,-0.000192,camera_link,22.383335,manual_cmd_vel,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,13.18,0.3,-0.0633,0.6396,-0.0405,16.49,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,621,22.400001,1783476206.80478,4.286405,-0.000922,0.0,-0.000128,0.3,0.0,0.299842,1.6e-05,camera_link,22.400001,manual_cmd_vel,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.68,0.3,-0.0629,0.6402,-0.0403,16.48,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,622,22.416668,1783476206.806777,4.291396,-0.000923,-0.0,-0.000128,0.3,0.0,0.299842,1.6e-05,camera_link,22.416668,manual_cmd_vel,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.68,0.3,-0.0629,0.6402,-0.0403,16.48,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,623,22.433335,1783476206.808049,4.296388,-0.000923,0.0,-0.000128,0.3,0.0,0.299842,1.6e-05,camera_link,22.433335,manual_cmd_vel,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.68,0.3,-0.0629,0.6402,-0.0403,16.48,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,624,22.450001,1783476206.830023,4.301379,-0.000924,0.0,-0.000128,0.3,0.0,0.299834,-2.6e-05,camera_link,22.450001,manual_cmd_vel,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.36,0.3,-0.0626,0.6412,-0.0402,16.48,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,625,22.466668,1783476206.831648,4.306368,-0.000925,0.0,-0.000128,0.3,0.0,0.299834,-2.6e-05,camera_link,22.466668,manual_cmd_vel,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.36,0.3,-0.0626,0.6412,-0.0402,16.48,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,626,22.483335,1783476206.832921,4.311359,-0.000925,-0.0,-0.000128,0.3,0.0,0.299834,-2.6e-05,camera_link,22.483335,manual_cmd_vel,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.36,0.3,-0.0626,0.6412,-0.0402,16.48,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,627,22.500001,1783476206.852509,4.31635,-0.000926,0.0,-0.000128,0.3,0.0,0.299849,4.9e-05,camera_link,22.500001,manual_cmd_vel,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,11.95,0.3,-0.062,0.6422,-0.0399,16.48,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,628,22.516668,1783476206.85424,4.32134,-0.000926,0.0,-0.000128,0.3,0.0,0.299849,4.9e-05,camera_link,22.516668,manual_cmd_vel,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,11.95,0.3,-0.062,0.6422,-0.0399,16.48,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,629,22.533335,1783476206.855551,4.326334,-0.000927,-0.0,-0.000127,0.3,0.0,0.299849,4.9e-05,camera_link,22.533335,manual_cmd_vel,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,11.95,0.3,-0.062,0.6422,-0.0399,16.48,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,630,22.550001,1783476206.876043,4.331324,-0.000928,0.0,-0.000127,0.3,0.0,0.29986,0.000141,camera_link,22.550001,manual_cmd_vel,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,11.72,0.3,-0.062,0.6426,-0.0399,16.49,,,scripted_cmd_vel,0.3,0.0
